ACL Name,Line,Line Text,In Use,Too General?,Source Clusters,Destination Clusters
ACL_IN,0,access-list ACL_IN extended permit TCP object Sharepoint_Search object Tetration_Cluster_(172.26.46.0/24) eq https,True,False,Sharepoint Search,Tetration Cluster (172.26.46.0/24)
ACL_IN,1,access-list ACL_IN extended permit TCP object Sharepoint_Search object Tetration_Cluster_(172.26.46.0/24) eq 5640,True,False,Sharepoint Search,Tetration Cluster (172.26.46.0/24)
ACL_IN,2,access-list ACL_IN extended permit TCP object Tetration_Cluster_(172.26.46.0/24) object Reporting_Service eq 4651,True,False,Tetration Cluster (172.26.46.0/24),Reporting Service
ACL_IN,3,access-list ACL_IN extended permit TCP object Tetration_Cluster_(172.26.46.0/24) object Reporting_Service eq 44371,True,False,Tetration Cluster (172.26.46.0/24),Reporting Service
ACL_IN,4,access-list ACL_IN extended permit ICMP object VDI_Jump_Server object Sharepoint_Search,True,False,VDI Jump Server,Sharepoint Search
ACL_IN,5,access-list ACL_IN extended permit ICMP any object Domain_Controllers,True,False,External,Domain Controllers
ACL_IN,6,access-list ACL_IN extended permit TCP any object Domain_Controllers eq 88,True,False,External,Domain Controllers
ACL_IN,7,access-list ACL_IN extended permit TCP any object Domain_Controllers eq 135,True,False,External,Domain Controllers
ACL_IN,8,access-list ACL_IN extended permit TCP any object Domain_Controllers eq netbios-ssn,True,False,External,Domain Controllers
ACL_IN,9,access-list ACL_IN extended permit TCP any object Domain_Controllers eq ldap,True,False,External,Domain Controllers
ACL_IN,10,access-list ACL_IN extended permit TCP any object Domain_Controllers eq 445,True,False,External,Domain Controllers
ACL_IN,11,access-list ACL_IN extended permit TCP any object Domain_Controllers eq 49155,True,False,External,Domain Controllers
ACL_IN,12,access-list ACL_IN extended permit TCP any object Domain_Controllers eq 49158,True,False,External,Domain Controllers
ACL_IN,13,access-list ACL_IN extended permit UDP any object Domain_Controllers eq domain,True,False,External,Domain Controllers
ACL_IN,14,access-list ACL_IN extended permit UDP any object Domain_Controllers eq ntp,True,False,External,Domain Controllers
ACL_IN,15,access-list ACL_IN extended permit UDP any object Domain_Controllers eq netbios-dgm,True,False,External,Domain Controllers
ACL_IN,16,access-list ACL_IN extended permit UDP any object Domain_Controllers eq 389,True,False,External,Domain Controllers
ACL_IN,17,access-list ACL_IN extended permit TCP object MSSQL_Database object Tetration_Cluster_(172.26.46.0/24) eq https,True,False,MSSQL Database,Tetration Cluster (172.26.46.0/24)
ACL_IN,18,access-list ACL_IN extended permit TCP object MSSQL_Database object Tetration_Cluster_(172.26.46.0/24) eq 5640,True,False,MSSQL Database,Tetration Cluster (172.26.46.0/24)
ACL_IN,19,access-list ACL_IN extended permit ICMP object Domain_Controllers object Sharepoint_DC,True,False,Domain Controllers,Sharepoint DC
ACL_IN,20,access-list ACL_IN extended permit ICMP object Domain_Controllers object MSSQL_Database,True,False,Domain Controllers,MSSQL Database
ACL_IN,21,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_DC eq 54091,True,False,MSSQL Database,Sharepoint DC
ACL_IN,22,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_DC eq 54130,True,False,MSSQL Database,Sharepoint DC
ACL_IN,23,access-list ACL_IN extended permit ICMP object VDI_Jump_Server object Sharepoint_Front-End,True,False,VDI Jump Server,Sharepoint Front-End
ACL_IN,24,access-list ACL_IN extended permit TCP object Sharepoint_Search object MSSQL_Database eq 1433,True,False,Sharepoint Search,MSSQL Database
ACL_IN,25,access-list ACL_IN extended permit ICMP object Sharepoint_Front-End object Domain_Controllers,True,False,Sharepoint Front-End,Domain Controllers
ACL_IN,26,access-list ACL_IN extended permit UDP object Sharepoint_Front-End object Domain_Controllers eq domain,True,False,Sharepoint Front-End,Domain Controllers
ACL_IN,27,access-list ACL_IN extended permit UDP object Sharepoint_Front-End object Domain_Controllers eq ntp,True,False,Sharepoint Front-End,Domain Controllers
ACL_IN,28,access-list ACL_IN extended permit UDP object Sharepoint_Front-End object Domain_Controllers eq 389,True,False,Sharepoint Front-End,Domain Controllers
ACL_IN,29,access-list ACL_IN extended permit TCP object Sharepoint_Front-End object Domain_Controllers eq 88,True,False,Sharepoint Front-End,Domain Controllers
ACL_IN,30,access-list ACL_IN extended permit TCP object Sharepoint_Front-End object Domain_Controllers eq 135,True,False,Sharepoint Front-End,Domain Controllers
ACL_IN,31,access-list ACL_IN extended permit TCP object Sharepoint_Front-End object Domain_Controllers eq ldap,True,False,Sharepoint Front-End,Domain Controllers
ACL_IN,32,access-list ACL_IN extended permit TCP object Sharepoint_Front-End object Domain_Controllers eq 445,True,False,Sharepoint Front-End,Domain Controllers
ACL_IN,33,access-list ACL_IN extended permit TCP object Sharepoint_Front-End object Domain_Controllers eq 49155,True,False,Sharepoint Front-End,Domain Controllers
ACL_IN,34,access-list ACL_IN extended permit TCP object Sharepoint_Front-End object Domain_Controllers eq 49158,True,False,Sharepoint Front-End,Domain Controllers
ACL_IN,35,access-list ACL_IN extended permit TCP object Sharepoint_Front-End object Reporting_Service eq 7819,True,False,Sharepoint Front-End,Reporting Service
ACL_IN,36,access-list ACL_IN extended permit TCP object Sharepoint_Front-End object Reporting_Service eq 7886,True,False,Sharepoint Front-End,Reporting Service
ACL_IN,37,access-list ACL_IN extended permit TCP object Sharepoint_Front-End object Reporting_Service eq 7890,True,False,Sharepoint Front-End,Reporting Service
ACL_IN,38,access-list ACL_IN extended permit TCP object Web_Servers object Tetration_Cluster_(172.26.46.0/24) eq 5640,True,False,Web Servers,Tetration Cluster (172.26.46.0/24)
ACL_IN,39,access-list ACL_IN extended permit TCP object Web_Servers object Tetration_Cluster_(172.26.46.0/24) eq https,True,False,Web Servers,Tetration Cluster (172.26.46.0/24)
ACL_IN,40,access-list ACL_IN extended permit TCP object Reporting_Service object Web_Servers eq 445,True,False,Reporting Service,Web Servers
ACL_IN,41,access-list ACL_IN extended permit TCP object Reporting_Service object Web_Servers eq www,True,False,Reporting Service,Web Servers
ACL_IN,42,access-list ACL_IN extended permit TCP object Web_Servers object Reporting_Service eq 7855,True,False,Web Servers,Reporting Service
ACL_IN,43,access-list ACL_IN extended permit TCP object Web_Servers object Reporting_Service eq 7815,True,False,Web Servers,Reporting Service
ACL_IN,44,access-list ACL_IN extended permit TCP object Web_Servers object Reporting_Service eq 7849,True,False,Web Servers,Reporting Service
ACL_IN,45,access-list ACL_IN extended permit TCP object Web_Servers object Reporting_Service eq 7847,True,False,Web Servers,Reporting Service
ACL_IN,46,access-list ACL_IN extended permit TCP object Web_Servers object Reporting_Service eq 7813,True,False,Web Servers,Reporting Service
ACL_IN,47,access-list ACL_IN extended permit TCP object Web_Servers object Reporting_Service eq 7904,True,False,Web Servers,Reporting Service
ACL_IN,48,access-list ACL_IN extended permit UDP object Sharepoint_DC any range 137-138,True,False,Sharepoint DC,External
ACL_IN,49,access-list ACL_IN extended permit UDP object Sharepoint_DC any eq 5355,True,False,Sharepoint DC,External
ACL_IN,50,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Search eq 49224,True,False,MSSQL Database,Sharepoint Search
ACL_IN,51,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Search eq 51933,True,False,MSSQL Database,Sharepoint Search
ACL_IN,52,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Search eq 54326,True,False,MSSQL Database,Sharepoint Search
ACL_IN,53,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Search eq 54625,True,False,MSSQL Database,Sharepoint Search
ACL_IN,54,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Search eq 61371,True,False,MSSQL Database,Sharepoint Search
ACL_IN,55,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Search eq 64269,True,False,MSSQL Database,Sharepoint Search
ACL_IN,56,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Search eq 64290,True,False,MSSQL Database,Sharepoint Search
ACL_IN,57,access-list ACL_IN extended permit UDP object Sharepoint_Search any range 137-138,True,False,Sharepoint Search,External
ACL_IN,58,access-list ACL_IN extended permit UDP object Sharepoint_Search any eq 5355,True,False,Sharepoint Search,External
ACL_IN,59,access-list ACL_IN extended permit TCP object Tetration_Cluster_(172.26.46.0/24) object Web_Servers eq 50014,True,False,Tetration Cluster (172.26.46.0/24),Web Servers
